"","species","depth_effect","covariate","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"1","greenstriped rockfish",TRUE,"temp",-2.01231903615173,0.344377140983509,3.42012403833218,0.285888950428211,5.4324430744839,0.541177510438456,2.99573227355399,0,0.864459331569423,0.0270049995917876
"2","pacific spiny dogfish",TRUE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","petrale sole",TRUE,"temp",-1.28032973691529,0.0994555815877254,2.90770748382718,0.081683555003009,4.18803722074247,0.154745930411987,2.99573227355399,0,0.771945353192614,0.0168530156944162
"4","flathead sole",TRUE,"temp",-2.06434700251998,0.971702909961553,5.20513862287933,5.51668301274873,7.26948562539931,6.30718821852307,2.99573227355399,0,0.924307538765187,0.131345359034259
"5","english sole",TRUE,"temp",-1.94728352420222,0.240091275163404,4.22876675093695,0.23953831095804,6.17605027513917,0.427780909644917,2.99573227355399,0,0.895133120248459,0.0145270997525122
"6","sablefish",TRUE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","slender sole",TRUE,"temp",-1.70332612667705,0.092367363616557,2.29721860459452,0.0542057608620089,4.00054473127158,0.110500262675455,2.99573227355399,0,0.750068077502152,0.0138068912821357
"8","dover sole",TRUE,"temp",-2.85920557286026,0.159636442142153,2.42051637931804,0.0780639580420861,5.2797219521783,0.193617457394255,2.99573227355399,0,0.85650463018472,0.0105244968970459
"9","blackbelly eelpout",TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,0,1.04447937044879,0.0232427805177805
"10","dungeness crab",TRUE,"temp",-1.13130794251671,0.138348875097838,5.62740571213947,0.473504319930235,6.75871365465618,0.542554374755371,2.99573227355399,0,0.912434728808394,0.0140585689494085
"11","spotted ratfish",TRUE,"temp",-1.55583058694773,0.125476941811582,3.17836136740239,0.108298750466021,4.73419195435012,0.189272590759627,2.99573227355399,0,0.821528750055151,0.0142705307173408
"12","big skate",TRUE,"temp",-4.26026373464405,1.83090507614179,5.31470824027218,1.20944414289027,9.57497197491623,2.91124498372733,2.99573227355399,0,0.956370024579169,0.0265311579849614
"13","pacific sanddab",TRUE,"temp",-1.62103873150813,0.208928555481507,3.85568138164072,0.168473074939019,5.47672011314885,0.33050575384225,2.99573227355399,0,0.866642054114257,0.0160956074165638
"14","rex sole",TRUE,"temp",-1.60088726124354,0.0805263208671974,2.67174592922151,0.0689396260240525,4.27263319046505,0.122939155896204,2.99573227355399,0,0.780886683865645,0.0126093698805179
"15","arrowtooth flounder",TRUE,"temp",-2.15467037263315,0.231075429224827,3.01341685736265,0.20543913357893,5.16808722999581,0.39691484962936,2.99573227355399,0,0.85023845192906,0.0230037070534838
"16","longnose skate",TRUE,"temp",-1.83493636080183,0.100018708879644,2.56909095362321,0.0702110070512131,4.40402731442504,0.138487182828062,2.99573227355399,0,0.793766133721974,0.0129702861065528
"17","sandpaper skate",TRUE,"temp",-1.93788222487899,0.144078190696122,2.40474064682389,0.122467573059805,4.34262287170288,0.225198334933238,2.99573227355399,0,0.787892629235884,0.0219987911151102
"18","lingcod",TRUE,"temp",-1.98483834758896,0.321638932442505,4.09299169025974,0.337157365216904,6.0778300378487,0.58581861168227,2.99573227355399,0,0.891716349370501,0.02087408745708
"19","greenspotted rockfish",TRUE,"temp",-9.75137320981413,21.7404404241541,4.09311906914575,3.08668763173878,13.8444922789599,19.6778612382419,2.99573227355399,0,0.979130794073628,0.0593248679831386
"20","canary rockfish",TRUE,"temp",-1.8633420286966,0.48534446067953,2.00872230749048,0.177005376647163,3.87206433618708,0.528572712929406,2.99573227355399,0,0.733206735012487,0.0728395127879561
"21","widow rockfish",TRUE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","yellowtail rockfish",TRUE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","kelp greenling",TRUE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","california slickhead",TRUE,"temp",-2.80831564745404,0.145497595711421,-0.285834788860782,0.0698427996294909,2.52248085859326,0.160043507910779,2.99573227355399,0,0.371356784878652,0.0797708851027232
"25","twoline eelpout",TRUE,"temp",-2.87346721808057,0.227509521737383,-0.274246910452812,0.0946996868423615,2.59922030762775,0.192738093592812,2.99573227355399,0,0.407928974403404,0.0878068245389933
"26","brown cat shark",TRUE,"temp",-2.70604006836905,0.214912153496064,1.63667105495045,0.118489258780639,4.3427111233195,0.257509321670398,2.99573227355399,0,0.787901249946604,0.0251535981567388
